,Description,Category,Submitted,Meta_Url,Related APIs,Categories,URL,Company,App Type
95,"A mash-up of the most creative videos found on Google Video, YouTube, Blip.tv and other video sharing sites.",Video,08.29.2006,https://www.programmableweb.com/mashup/neave.tv,YouTube,"Video, Movies",http://neave.com/television/,,
96,A nice way to see the any location side-by-side in Google and Yahoo Maps. Even dragging one map drags the other.,Mapping,08.29.2006,https://www.programmableweb.com/mashup/google-vs-yahoo-maps,"Google Maps, Yahoo Maps",Mapping,http://www.sergeychernyshev.com/maps.html,,
97,A straightforward and clean interface to YouTube via their APIs. Workplace safe.,Video,08.28.2006,https://www.programmableweb.com/mashup/search-tube,YouTube,"Video, Search",http://www.searchthetube.com/,,
98,Search for city properties and view listings via Google Maps.,Real Estate,08.28.2006,https://www.programmableweb.com/mashup/urban-registry,Google Maps,"Real Estate, Mapping, New York City",http://www.treasurestone.com/newurbanregistry/,,
99,"Mashup with searchable US Golf Courses, weather data and details golf course information.",Sports,08.28.2006,https://www.programmableweb.com/mashup/caddymap-mapquest,Google Maps,"Sports, Mapping, Sports",http://www.caddymap.com/,,Web
100,"Google Maps mashup with searchable US Golf Courses, weather data and details golf course information.",Sports,08.28.2006,https://www.programmableweb.com/mashup/caddymap,Google Maps,"Sports, Sports, Mapping",http://www.caddymap.com,,
101,Chinese Google Maps mashup that allow people to share maps.,Wiki,08.28.2006,https://www.programmableweb.com/mashup/eemap.org,Google Maps,"Wiki, Chinese, Mapping",http://www.eemap.org,,
102,"WikiWalki lets you search, draw, and share your favorite outdoor trail by importing and exporting GPS data and Google mapping them. Use it to email a cool map of your walk, bike ride or running trail to your friends or find a new hike or city tour nearby.",Recreation,08.28.2006,https://www.programmableweb.com/mashup/wikiwalki,Google Maps,"Recreation, Mapping, Cycling, Sports",http://wikiwalki.com/,,
103,Guide for businesses and service providers in Switzerland with community integration.,eCommerce,08.27.2006,https://www.programmableweb.com/mashup/smagoo-swiss-shopping-guide,Google Maps,"eCommerce, Mapping",http://www.smagoo.ch,,
104,Interactive Google Map showing pubs in London with reviews.,Mapping,08.27.2006,https://www.programmableweb.com/mashup/london-random-pub-finder,Google Maps,"Mapping, England",http://www.randompubfinder.com/map.php,,
105,"Find mashed up maps in your locale: city, state, country, or the world, sorted by categories. Updated daily with your suggestions.",Mapping,08.27.2006,https://www.programmableweb.com/mashup/mashplanet,"Flickr, Google Maps, Google Gadgets","Mapping, Photos",http://imagine-it.org/mashplanet/,,
106,"Get real time listings from Windows Expo Live on your cell phone, using SMS, Email and WAP. Just send us the zip code for the location and what you are looking for, i.e. product details.",eCommerce,08.26.2006,https://www.programmableweb.com/mashup/mobile-windows-expo-live,"411Sync, Windows Live Expo","eCommerce, Classifieds, Mobile, Messaging",http://www.411sync.com/cgi-bin/search_api?query=listing%2098102%20couch,,
